county_name,population,crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON
"North Slope Borough, AK",9686,722.6925459,1,14,3,52,36,59,11,1
"Hinds County, MS",244899,721.5219335,66,143,846,712,4627,7416,1272,69
"Cibola County, NM",27335,720.6877629,1,15,7,174,232,199,51,2
"Tulsa County, OK",622409,719.1412721,45,381,1122,2928,7291,15582,2702,263
"Putnam County, FL",72577,717.8582747,5,37,51,428,1029,1952,80,7
"Jefferson County, TX",252358,710.8948399,20,114,554,1106,3147,6454,519,99
"Ohio County, WV",43727,706.6572141,0,24,46,240,322,764,56,4
"San Francisco County, CA",837442,701.4217104,69,110,3554,2141,5401,29256,5381,211
"Bamberg County, SC",15430,699.9351912,0,2,21,85,231,415,41,2
"Merced County, CA",263228,696.3544912,23,54,331,1425,2686,6047,1358,83
"Harris County, TX",4336853,696.1038338,307,1143,12449,16290,43644,114208,20829,1153
"Jim Wells County, TX",41680,695.7773512,13,17,7,253,467,1089,93,14
"Oklahoma County, OK",755245,694.8738489,83,398,1137,3630,10118,23238,4163,145
"McKinley County, NM",73308,694.3307688,7,42,67,393,540,1615,127,18
"Mississippi County, MO",14282,693.1802269,2,4,6,87,128,286,13,8
"Alpine County, CA",1159,690.2502157,0,3,0,5,18,20,5,0
"Calhoun County, GA",6523,689.8666258,0,0,14,31,21,49,7,0
"Dyer County, TN",38213,688.2474551,0,9,23,231,387,1084,50,3
"Clark County, NV",2027868,685.153077,94,739,4422,8639,17538,33364,8213,297
"Guadalupe County, NM",4551,681.1689739,0,0,6,25,34,53,8,1
"San Juan County, NM",126503,675.0828044,6,133,57,657,725,2325,189,29
"Fairfield County, SC",23109,675.0616643,4,8,15,129,211,607,68,5
"McDonald County, MO",22558,673.8186009,1,4,4,143,110,266,25,6
"Taylor County, FL",22857,673.754211,3,10,6,135,117,164,15,3
"Wayne County, GA",30077,668.2847358,8,6,24,163,318,1289,24,0
"East Baton Rouge Parish, LA",445227,667.0754469,84,77,1297,1512,5806,15182,671,213
"Leon County, FL",281845,664.1948589,17,137,576,1142,3378,7002,641,25
"Lander County, NV",6032,663.1299735,0,9,0,31,38,55,11,3
"Orange County, FL",1225267,662.6310837,76,450,1977,5616,14034,32034,4013,50
"Leflore County, MS",31607,661.2459265,2,24,46,137,601,906,34,3
"Essex County, NJ",789565,659.9836619,121,132,2938,2021,4849,10759,5882,119
"Peach County, GA",27014,658.9175983,0,2,19,157,286,688,47,1
"Burke County, GA",22923,658.7270427,2,1,11,137,215,397,21,0
"Hamilton County, TN",348673,658.496643,26,91,560,1619,3405,10133,1216,37
"Miami-Dade County, FL",2617176,656.0124348,210,570,6006,10383,21105,82992,9451,226
"Columbia County, FL",67543,654.3979391,3,20,46,373,812,1317,53,3
"Crockett County, TN",14591,651.0862861,1,11,2,81,81,171,15,0
"Lenoir County, NC",58914,650.100146,1,18,76,288,796,1468,67,11
"Hempstead County, AR",22474,649.6395835,2,16,12,116,332,615,51,6
"Hutchinson County, TX",21819,646.2257665,0,20,5,116,184,489,21,5
"Richmond city, VA",214114,644.9835135,44,43,640,654,2068,6833,952,54
"Jefferson Davis County, MS",11948,644.4593237,5,2,3,68,206,48,17,0
"Conecuh County, AL",12887,644.0599053,1,4,8,70,108,252,42,5
"Morehouse Parish, LA",27057,639.3909155,0,3,34,136,315,842,50,6
"Early County, GA",10542,635.553026,1,3,8,55,105,196,6,0
"Henderson County, TN",28048,634.6263548,1,8,10,159,204,544,43,3
"Richmond County, NY",472621,634.123325,24,66,1143,1764,1053,6586,463,0
"New York County, NY",1626159,634.0093435,81,227,3932,6070,3623,22730,1592,0
"Jefferson County, IL",38644,633.9923403,0,20,27,198,326,832,30,16
"Bronx County, NY",1418733,632.0428157,71,197,3420,5279,3165,19721,1385,0
"Queens County, NY",2296175,630.3962024,114,317,5522,8522,5088,31814,2235,0
"Kings County, NY",2592149,630.2492642,129,358,6235,9616,5742,35966,2524,0
"Warren County, GA",5558,629.7229219,0,0,1,34,30,60,5,0
"Nash County, NC",95093,628.8580653,11,17,100,470,1125,1981,166,12
"Lauderdale County, TN",27795,626.0118726,2,9,16,147,420,472,41,4
"Cocke County, TN",35479,625.7222582,3,4,24,191,483,1033,89,15
"Bowie County, TX",93487,622.5464503,7,33,88,454,1073,2541,241,27
"Hampton County, SC",20408,622.3049784,0,7,18,102,203,336,27,17
"Hendry County, FL",37471,621.814203,0,15,37,181,595,646,52,8
"Duval County, FL",885855,621.5464156,94,355,1436,3621,8025,27335,1712,96
"Durham County, NC",288133,621.2408853,21,70,633,1066,3735,7491,772,61
"Greene County, MO",283870,620.7066615,17,163,362,1219,2863,13016,1238,86
"Jefferson County, FL",14194,619.9802734,0,3,6,79,103,64,9,2
"Escambia County, AL",37983,618.6978385,3,7,18,207,299,793,62,14
"Horry County, SC",289650,617.6419817,21,201,416,1151,3158,10088,1073,57
"Nueces County, TX",352107,616.5739392,18,194,392,1567,2723,11976,491,41
"Sedgwick County, KS",505415,615.5337693,24,273,513,2301,4575,17136,1967,160
"Edgecombe County, NC",55574,615.3956886,3,14,61,264,735,1301,83,13
"Montgomery County, KS",34292,615.303861,1,17,17,176,303,858,48,20
"Caddo Parish, LA",254887,614.7822368,17,98,436,1016,2642,7558,479,79
"Graham County, AZ",37482,613.6278747,1,0,0,229,119,251,21,7
"Madera County, CA",152389,612.9051309,2,35,139,758,1654,1715,648,11
"Sebastian County, AR",127342,612.5237549,6,77,97,600,1261,3804,199,12
"Emanuel County, GA",22867,612.2359732,2,6,14,118,253,799,59,2
"Camden County, NJ",512854,610.3101467,71,117,1182,1760,3986,11325,1388,173
"Nye County, NV",42297,609.9723385,0,11,26,221,334,687,126,10
"Greenlee County, AZ",9049,607.8019671,1,3,1,50,37,88,4,0
"Alachua County, FL",253451,605.2451953,10,138,253,1133,1917,6331,357,25
"Union County, AR",40694,604.5117216,1,4,36,205,522,802,62,7
"Peoria County, IL",188429,603.941007,14,53,347,723,1809,4545,290,61
"Madison County, AL",346892,603.3578174,18,107,523,1445,3217,8556,919,33
"Calhoun County, MI",135012,602.1686961,11,83,112,606,1405,2782,170,41
"Williamsburg County, SC",33067,601.8084495,4,11,39,145,440,785,116,17
"Roberts County, TX",831,601.6847172,0,1,0,4,1,13,3,0
"Bradley County, TN",101848,600.895452,1,38,54,519,681,2409,160,7
"Anderson County, SC",190641,600.0807801,18,55,157,914,2438,6372,835,36
"Denver County, CO",649495,599.0808243,39,383,1170,2299,5152,14857,3688,98
"Chester County, SC",32578,598.5634477,2,12,25,156,389,867,60,2
"Lowndes County, AL",10703,597.9631879,1,3,8,51,117,127,25,7
"Willacy County, TX",21921,597.6004744,0,14,4,113,226,463,16,7
"Cook County, IL",5240700,596.6569351,566,463,15583,14657,34233,115634,20245,892
"Clark County, IN",112938,593.2458517,3,16,73,579,954,3388,263,4
"DeKalb County, GA",713340,592.9851123,80,163,2140,1847,10669,21449,5575,184
"Potter County, TX",121661,592.6303417,5,60,154,502,1218,3529,363,30
"Arkansas County, AR",18777,591.1487458,0,4,24,83,339,429,34,7
"Chicot County, AR",11335,591.0895457,0,4,8,56,83,171,2,2
"Cochise County, AZ",129473,590.856781,4,40,52,669,713,2662,197,32
"Wyandotte County, KS",160384,590.457901,16,90,286,554,1834,5085,1256,80
"Turner County, GA",8134,590.1155643,0,6,4,38,46,161,19,3
"Lake County, CA",63860,588.7879737,3,33,60,280,766,958,201,25
"Luna County, NM",24659,588.020601,0,9,6,130,243,583,28,4
"Manatee County, FL",342106,585.7833537,26,141,388,1449,2720,7699,404,14
"Hampden County, MA",467319,583.3274487,11,151,788,1776,4570,9836,1231,115
"Haralson County, GA",28495,582.5583436,1,6,4,155,310,442,90,1
"New Castle County, DE",549684,581.7888096,46,130,1167,1855,4310,12637,1015,22
"Calhoun County, AL",116736,580.7976974,6,37,131,504,1710,3482,147,34
"Jackson County, IL",59814,580.1317417,1,29,53,264,488,1683,73,20
"St. James Parish, LA",21752,579.2570798,1,6,9,110,128,401,16,0
"Sullivan County, TN",156595,578.5625339,3,56,70,777,1077,4129,299,37
"Greenville County, SC",474266,577.3131534,20,189,451,2078,4000,11148,1254,67
"Concordia Parish, LA",20442,577.2429312,2,4,5,107,142,304,18,0
"Jefferson County, KY",756832,576.7462264,78,266,1557,2465,8103,21941,2430,250
"Kern County, CA",864124,575.8432818,65,174,1313,3424,10931,17584,6246,589
"Clayton County, GA",264220,575.2781773,28,71,693,728,4477,7068,1636,34
"Plumas County, CA",18859,572.6708733,0,15,1,92,143,271,23,0
"Emporia city, VA",5588,572.6556908,0,3,5,24,71,213,15,2
"Kershaw County, SC",62516,571.0538102,2,30,26,299,663,1333,124,4
"Mecosta County, MI",43108,570.6597383,0,20,0,226,181,691,27,4
"Natchitoches Parish, LA",39138,569.7787317,4,7,24,188,518,1223,50,4
"Eddy County, NM",55471,569.6670332,7,26,19,263,628,1596,133,7
"Union County, SC",28030,567.2493757,2,9,20,128,270,776,31,8
"West Carroll Parish, LA",11465,566.9428696,0,0,0,65,49,285,10,3
"Vermilion County, IL",80329,565.1757149,4,63,88,299,955,1979,124,27
"Rio Arriba County, NM",40072,563.9848273,1,5,38,182,401,396,39,3
"Cumberland County, NC",325871,562.7993899,30,95,728,980,6378,11924,999,104
"Hardeman County, TN",26306,562.6092907,4,3,11,130,225,376,54,8
"Independence County, AR",36997,562.2077466,0,22,16,170,601,830,121,25
"St. Mary Parish, LA",53543,562.1649889,1,19,41,240,412,1329,73,3
"Chambers County, AL",34162,562.0279843,1,7,24,160,374,875,96,5
"Tehama County, CA",63057,561.3968314,3,17,36,298,451,896,160,5
"Brooks County, GA",15516,560.7115236,0,12,10,65,117,328,34,0
"Champaign County, IL",204897,560.2815073,4,129,226,789,1571,4040,166,47
"Glynn County, GA",81508,559.4542867,6,13,125,312,957,2814,112,8
"Petersburg city, VA",32538,559.3459955,5,7,59,111,395,939,107,7
"Norfolk city, VA",246139,558.2211677,34,88,502,750,2327,8972,759,62
"Henderson County, IL",6990,557.9399142,0,1,1,37,69,103,0,1
"Sierra County, CA",3047,557.9258287,0,0,0,17,16,37,2,1
"East Carroll Parish, LA",7529,557.843007,3,0,3,36,57,68,0,0
"Claiborne County, TN",31560,557.6679341,1,4,13,158,369,425,51,9
"Mecklenburg County, NC",990977,556.9251355,54,240,1886,3339,8340,25995,2295,233
"Del Norte County, CA",27873,556.0937108,1,22,24,108,288,283,116,6
"Prince George's County, MD",890081,555.679764,63,173,2450,2260,6050,20025,5092,159
"Lafayette Parish, LA",230845,554.917802,17,37,267,960,2110,6959,396,46
"Butler County, MO",43083,554.7431702,1,18,35,185,446,1524,79,10
"Sumter County, AL",13361,553.8507597,1,2,4,67,99,194,15,0
"Maury County, TN",83761,552.7632192,5,28,45,385,518,1640,80,11
"Mobile County, AL",414079,552.3100664,46,87,661,1493,4458,12315,1034,92
"St. Landry Parish, LA",83454,551.2018597,7,28,69,356,823,1641,84,3
"Cumberland County, NJ",157332,551.0639921,7,32,316,512,2033,4567,164,33
"Tift County, GA",40286,551.0599216,5,18,45,154,369,1514,68,16
"Pinellas County, FL",929048,550.6712247,44,361,1206,3505,7392,24499,1755,167
"Roanoke city, VA",98465,550.4493983,9,39,141,353,939,3602,248,43
"Clarendon County, SC",34355,550.1382623,1,10,31,147,352,904,82,11
"Chaves County, NM",65823,549.9597405,8,37,48,269,756,2141,110,14
"Quitman County, GA",2367,549.2184199,0,0,0,13,18,24,2,0
"Wicomico County, MD",100896,549.080241,5,30,148,371,764,2494,109,33
"Sacramento County, CA",1462131,547.6937429,79,383,2560,4986,11383,28679,8416,244
"Andrews County, TX",16799,547.6516459,1,20,0,71,78,258,18,0
"Stanislaus County, CA",525491,547.107372,38,129,788,1920,5551,12425,4085,117
"Spalding County, GA",63829,546.7734102,3,24,82,240,797,2288,160,3
"Victoria County, TX",90028,543.1643489,6,48,50,385,761,2218,130,19
"St. Francis County, AR",27260,542.9200293,4,7,45,92,465,1081,34,9
"Wirt County, WV",5901,542.2809693,0,1,0,31,42,57,11,2
"Halifax County, NC",53453,540.6618899,7,28,55,199,732,1226,81,13
"Jeff Davis County, GA",15004,539.8560384,1,0,3,77,115,346,10,2
"Cecil County, MD",101913,538.6947691,2,38,119,390,870,2362,138,45
"Brevard County, FL",550823,537.9223453,30,199,505,2229,3945,11867,847,64
"Butler County, AL",20265,537.8731804,6,5,11,87,182,408,30,3
"Montgomery County, TN",184119,536.6094754,12,60,104,812,1171,3265,230,29
"Beaufort County, SC",171838,536.5518686,12,48,146,716,1299,3522,219,26
"Forsyth County, NC",361220,535.9614639,8,99,469,1360,5413,11233,831,112
"Fresno County, CA",955272,534.2980847,76,170,1410,3448,10493,24451,6909,415
"Kent County, DE",169416,534.1880342,4,47,161,693,1230,4743,213,196
"Howard County, TX",36147,533.9308933,3,20,12,158,303,908,54,7
"Putnam County, GA",21371,533.4331571,0,7,13,94,173,324,11,1
"Morgan County, MO",20265,532.938564,3,0,1,104,154,248,25,0
"Anson County, NC",26161,531.3252552,1,15,30,93,508,769,38,3
"Allen County, OH",105298,530.8742806,8,73,120,358,1042,2646,132,25
"Clinch County, GA",6795,529.8013245,2,0,8,26,75,171,2,1
"Wilkes County, GA",10010,529.4705295,1,1,1,50,50,126,5,0
"Muskegon County, MI",171008,529.2150075,4,119,192,590,1800,5164,305,61
"Lincoln County, WV",21559,528.7814834,2,5,9,98,226,525,56,4
"Gadsden County, FL",46194,528.2071265,5,12,25,202,444,659,42,5
"Bullock County, AL",10639,526.3652599,0,2,12,43,98,55,3,23
"Dauphin County, PA",270937,525.2143487,18,154,527,724,1533,5404,288,56
"Hill County, MT",16568,525.1086432,0,17,1,69,40,519,36,11
"Bibb County, GA",154721,524.1693112,24,56,292,439,2395,6307,683,211
"Knox County, TN",444622,522.4662747,25,150,612,1536,4205,12733,1372,46
"Vance County, NC",44808,522.2281735,11,8,97,118,1029,1800,167,12
"Bryan County, OK",44244,522.1046922,1,17,9,204,366,865,76,2
"Cuyahoga County, OH",1263154,521.2349405,99,489,3719,2277,12781,21517,4681,367
"Taney County, MO",53575,520.7652823,0,10,26,243,351,1564,102,3
"Martin County, NC",23699,519.0092409,3,4,32,84,425,619,40,6
"McMinn County, TN",52341,517.7585449,0,18,37,216,483,1426,136,13
"Dallas County, AR",7933,516.8284382,2,5,7,27,80,144,5,1
"Delaware County, PA",561973,516.0390268,30,89,849,1932,2309,9745,602,59
"Ward County, TX",11244,515.8306652,2,5,2,49,70,226,7,0
"Gibson County, TN",49457,515.5994096,0,7,21,227,367,812,49,9
"Bristol County, MA",552780,515.394913,6,186,692,1965,3653,8599,876,105
"Oconee County, SC",75045,514.3580518,5,32,17,332,662,1456,157,13
"Etowah County, AL",103931,513.8024266,2,45,126,361,1241,2674,294,42
"Pontotoc County, OK",37992,513.2659507,3,25,11,156,292,740,77,0
"Monroe County, FL",76351,512.1085513,3,33,66,289,638,2549,144,6
"Gonzales County, TX",20312,512.0126034,2,15,4,83,166,351,25,1
"Abbeville County, SC",25007,511.8566801,0,5,12,111,216,496,25,13
"Galax city, VA",7035,511.7270789,0,10,1,25,17,289,6,0
"Dorchester County, MD",32660,508.2669933,1,15,36,114,296,784,49,11
"Lawrence County, PA",89333,508.2108515,4,14,93,343,635,1401,73,13
"Ben Hill County, GA",17515,508.1358835,0,23,12,54,180,303,24,3
"Kings County, CA",150960,508.081611,4,55,106,602,813,2222,405,34
"Baltimore County, MD",823015,508.0101821,24,147,1368,2642,4083,18013,1572,257
"Des Moines County, IA",40480,506.4229249,3,5,20,177,339,1060,62,14
"Okeechobee County, FL",39330,505.9750826,0,19,30,150,550,786,51,0
"Lancaster County, SC",80458,504.6111014,13,26,68,299,884,2146,115,22
"Lee County, IA",35682,504.4560283,0,9,5,166,254,678,78,15
"Calcasieu Parish, LA",195296,504.3626086,12,118,241,614,3762,4802,231,16
"Randall County, TX",126474,503.6608315,6,56,126,449,1094,3091,313,29
"St. Charles Parish, LA",52617,503.6395081,2,8,32,223,409,1118,78,18
"Baldwin County, GA",46039,501.7485176,2,18,15,196,359,1044,40,3
"Pueblo County, CO",161451,501.7002063,8,22,199,581,1962,4931,518,43
"Cherokee County, TX",50878,501.1989465,2,33,25,195,436,903,102,8
"McNairy County, TN",26140,501.1476664,0,4,5,122,153,378,42,2
"Lea County, NM",68062,501.0137816,4,28,28,280,729,1600,184,6
"Franklin County, AL",31532,497.9068882,0,10,13,134,216,494,35,2
"Geary County, KS",37384,497.5390541,1,12,13,160,166,510,32,7
"Tallapoosa County, AL",41203,497.5365871,3,6,17,179,296,809,52,4
"DeWitt County, TX",20503,497.4881725,0,10,5,87,124,290,21,1
"Bay County, FL",174987,497.1797905,9,70,168,623,1558,5538,295,20
"Scotland County, NC",36025,496.8771686,7,5,33,134,761,803,47,26
"St. Helena Parish, LA",10875,496.5517241,0,1,2,51,87,140,20,0
"Washington Parish, LA",46419,495.4867619,6,22,36,166,552,1075,76,2
"Calhoun County, TX",21806,495.2765294,0,15,3,90,191,359,29,5
"Johnson County, TN",17977,495.0770429,2,5,2,80,96,169,38,2
"Valencia County, NM",76284,492.8949714,4,15,18,338,822,931,204,9
"Gregg County, TX",123024,492.5868123,7,72,145,382,1241,3834,395,19
"Kleberg County, TX",32101,492.1965048,1,5,18,134,370,960,20,4
"Sheridan County, MT",3668,490.7306434,0,3,0,15,7,54,6,0
"Muscogee County, GA",202824,490.5731077,17,31,424,523,2712,7767,846,28
"Nantucket County, MA",10399,490.4317723,0,3,2,46,51,301,13,1
"Decatur County, TN",11661,488.80885,0,1,3,53,97,162,25,1
"Osceola County, FL",298504,488.4356659,8,75,209,1166,2801,5962,367,7
"York County, SC",239363,488.3795741,10,70,167,922,1090,4480,327,31
"Shawnee County, KS",178831,488.1703955,19,46,244,564,1585,5706,662,68
"Pennington County, SD",105761,486.9469842,5,143,55,312,716,3149,258,21
"Ingham County, MI",282234,485.4128135,13,162,237,958,1971,4891,428,112
"Cloud County, KS",9292,484.2875592,0,9,0,36,88,202,10,7
"Bradford County, FL",26850,484.1713222,0,12,6,112,179,339,26,2
"Douglas County, NE",537256,483.3822237,41,196,824,1536,3684,14152,2893,73
"Colbert County, AL",54520,482.3917828,2,15,34,212,636,1342,112,3
"Passaic County, NJ",505672,481.7351959,30,42,1213,1151,3093,6599,1392,19
"Gray County, TX",23043,481.7081109,0,2,6,103,269,609,35,4
"Portsmouth city, VA",96205,481.2639676,11,43,181,228,1220,3419,215,14
"Monroe County, AL",22236,481.201655,0,8,8,91,129,423,25,2
"Union County, NM",4370,480.5491991,0,1,2,18,77,42,12,0
"Hardin County, TN",26034,480.1413536,1,11,12,101,282,586,50,6
"Clarke County, AL",25207,480.0253898,0,16,12,93,172,399,34,1
"Pointe Coupee Parish, LA",22499,480.0213343,0,3,4,101,111,187,21,0
"Crenshaw County, AL",13986,479.0504791,1,3,3,60,85,133,23,2
"Marion County, FL",337362,479.010677,21,166,162,1267,1989,5080,242,16
"Palm Beach County, FL",1372171,478.6575434,74,381,1883,4230,10230,31147,2641,157
"Pima County, AZ",996554,478.147697,56,345,1481,2883,8284,11683,3599,310
"Multnomah County, OR",766135,477.461544,24,287,1170,2177,5621,27569,4482,293
"Georgetown County, SC",60440,476.5056254,4,14,31,239,710,1527,125,6
"Chesterfield County, SC",46197,476.2213997,2,14,21,183,362,1219,84,10
"Crisp County, GA",23336,475.6599246,3,9,44,55,333,993,36,4
"Pottawatomie County, OK",71158,473.593974,4,32,22,279,659,1645,240,3
"De Baca County, NM",1907,471.9454641,0,1,0,8,9,6,1,0
"Calhoun County, SC",15055,471.6041182,0,6,9,56,221,269,50,2
"Radford city, VA",17184,471.3687151,1,9,8,63,108,394,21,3
"Broward County, FL",1838844,470.9480521,80,401,3408,4771,17400,45279,4320,180
"Raleigh County, WV",78833,470.6150977,9,36,99,227,1054,2126,132,14
"San Miguel County, NM",28541,469.5000175,0,5,8,121,155,273,24,6
"Muscatine County, IA",42836,469.2314875,0,40,7,154,259,728,41,12
"Dimmit County, TX",10897,468.0187207,0,4,2,45,167,249,22,4
"Lincoln County, TN",33633,466.8034371,2,6,6,143,196,573,27,4
"Okaloosa County, FL",193811,464.3699274,2,72,108,718,920,3889,219,2
"Reno County, KS",64190,464.2467674,2,28,26,242,637,2141,159,41
"Decatur County, GA",27359,464.1982529,3,2,11,111,254,743,25,0
"Hamblen County, TN",63074,462.948283,0,17,58,217,374,1955,112,12
"McCurtain County, OK",33065,462.7249357,0,9,10,134,311,689,63,14
"Ramsey County, MN",526714,462.49008,15,233,730,1458,4257,12857,2442,175
"Tulare County, CA",454143,462.4094173,33,115,412,1540,4364,9194,1835,39
"Ouachita Parish, LA",156220,462.1687364,11,29,175,507,2149,5208,184,8
"Marengo County, AL",20155,461.4239643,3,8,9,72,148,356,21,4
"Hampshire County, WV",23445,460.6525912,0,6,2,100,97,119,15,2
"Clinton County, IA",48420,460.5534903,0,17,21,185,356,1025,65,11
"Barrow County, GA",71453,460.4425287,0,11,22,296,409,1149,94,7
"Erie County, NY",919866,459.3060294,50,211,1602,2361,6019,19729,1481,341
"Coffee County, TN",53357,459.1712428,2,7,17,219,356,1183,69,4
"Richmond County, NC",46405,459.0022627,8,24,49,132,974,1714,96,22
"Bourbon County, KS",14852,457.8507945,0,8,1,59,136,316,28,6
"Atlantic County, NJ",275862,457.4751144,30,74,479,678,1794,6331,301,37
