RegionName,StateName,SizeRank,2015,2016,2017,2018,2019
New York,New York,1,517833.3333333333,534275.0,542425.0,555416.6666666666,565016.6666666666
Los Angeles,California,2,491658.3333333333,530025.0,567958.3333333334,637291.6666666666,704691.6666666666
Houston,Texas,3,171058.33333333334,181208.33333333334,190675.0,196850.0,208958.33333333334
Chicago,Illinois,4,236341.66666666666,218975.0,228258.33333333334,245083.33333333334,265641.6666666667
San Antonio,Texas,5,164600.0,171308.33333333334,177666.66666666666,188108.33333333334,197250.0
Philadelphia,Pennsylvania,6,118750.0,124141.66666666667,140008.33333333334,143691.66666666666,160950.0
Phoenix,Arizona,7,157616.66666666666,177083.33333333334,194016.66666666666,216533.33333333334,232000.0
Las Vegas,Nevada,8,184291.66666666666,196800.0,220225.0,253541.66666666666,269391.6666666667
San Diego,California,9,475258.3333333333,504708.3333333333,542691.6666666666,586066.6666666666,599658.3333333334
Dallas,Texas,10,253525.0,270908.3333333333,289100.0,297625.0,302025.0
Austin,Texas,11,294900.0,316683.3333333333,335850.0,354433.3333333333,373233.3333333333
San Jose,California,12,704100.0,757850.0,839891.6666666666,1008808.3333333334,944716.6666666666
Jacksonville,Florida,13,90416.66666666667,108200.0,126483.33333333333,141133.33333333334,161508.33333333334
Indianapolis,Indiana,14,0.0,0.0,76625.0,139266.66666666666,150433.33333333334
San Francisco,California,15,1096208.3333333333,1168933.3333333333,1200775.0,1316266.6666666667,1336458.3333333333
Charlotte,North Carolina,16,179616.66666666666,185775.0,187350.0,213616.66666666666,233233.33333333334
Fort Worth,Texas,17,162050.0,177700.0,195441.66666666666,208758.33333333334,218950.0
Tucson,Arizona,18,147800.0,162016.66666666666,175250.0,187291.66666666666,201416.66666666666
Columbus,Ohio,19,124591.66666666667,129641.66666666667,139891.66666666666,147108.33333333334,157800.0
Louisville,Kentucky,20,138725.0,149683.33333333334,154950.0,161141.66666666666,173550.0
Orlando,Florida,21,161883.33333333334,181491.66666666666,198825.0,231150.0,242850.0
El Paso,Texas,22,125108.33333333333,127183.33333333333,132733.33333333334,137616.66666666666,146275.0
Denver,Colorado,23,301433.3333333333,337933.3333333333,373175.0,413833.3333333333,422641.6666666667
Seattle,Washington,24,464183.3333333333,528916.6666666666,618275.0,692491.6666666666,686933.3333333334
Memphis,Tennessee,25,82625.0,86083.33333333333,93400.0,96383.33333333333,99675.0
Boston,Massachusetts,26,488100.0,522500.0,566266.6666666666,610441.6666666666,639475.0
Washington,District of Columbia,27,496641.6666666667,511216.6666666667,525941.6666666666,519933.3333333333,546183.3333333334
Portland,Oregon,28,330450.0,369033.3333333333,396833.3333333333,415925.0,420883.3333333333
Nashville,Tennessee,29,185716.66666666666,208308.33333333334,233725.0,255591.66666666666,272541.6666666667
Sacramento,California,30,225166.66666666666,252350.0,272133.3333333333,298058.3333333333,315483.3333333333
Baltimore,Maryland,31,94758.33333333333,105450.0,109258.33333333333,107375.0,113516.66666666667
Milwaukee,Wisconsin,32,97175.0,103458.33333333333,113183.33333333333,122466.66666666667,131566.66666666666
Fresno,California,33,192675.0,203766.66666666666,225083.33333333334,241875.0,246033.33333333334
Omaha,Nebraska,34,141058.33333333334,148058.33333333334,156316.66666666666,168908.33333333334,185766.66666666666
Albuquerque,New Mexico,35,174241.66666666666,178558.33333333334,183383.33333333334,189741.66666666666,204375.0
Oklahoma City,Oklahoma,36,129766.66666666667,133150.0,133883.33333333334,133133.33333333334,147366.66666666666
Raleigh,North Carolina,37,204266.66666666666,214408.33333333334,230875.0,248883.33333333334,256400.0
Mesa,Arizona,38,174408.33333333334,191350.0,207891.66666666666,229733.33333333334,249383.33333333334
Miami,Florida,39,291208.3333333333,291825.0,301791.6666666667,311133.3333333333,320666.6666666667
Atlanta,Georgia,40,198200.0,202450.0,208241.66666666666,217950.0,243608.33333333334
Kansas City,Missouri,41,132041.66666666666,139000.0,158975.0,170916.66666666666,177966.66666666666
Colorado Springs,Colorado,42,210200.0,225958.33333333334,246750.0,274575.0,295291.6666666667
Long Beach,California,43,435208.3333333333,467283.3333333333,476250.0,539025.0,568983.3333333334
Virginia Beach,Virginia,44,230600.0,237833.33333333334,242900.0,250400.0,256558.33333333334
Oakland,California,45,503875.0,572166.6666666666,622875.0,694258.3333333334,711641.6666666666
Tulsa,Oklahoma,46,116283.33333333333,118083.33333333333,130700.0,127308.33333333333,138208.33333333334
Minneapolis,Minnesota,47,206158.33333333334,217375.0,230400.0,244908.33333333334,265125.0
Cleveland,Ohio,48,37466.666666666664,41150.0,53016.666666666664,57900.0,62116.666666666664
New Orleans,Louisiana,49,174933.33333333334,175016.66666666666,185408.33333333334,188741.66666666666,209283.33333333334
Arlington,Texas,50,152550.0,167925.0,182925.0,199883.33333333334,214791.66666666666
Knoxville,Tennessee,51,145275.0,149566.66666666666,156616.66666666666,166741.66666666666,179566.66666666666
Baton Rouge,Louisiana,52,166525.0,172166.66666666666,171441.66666666666,175966.66666666666,178241.66666666666
Wichita,Kansas,53,129925.0,133558.33333333334,136641.66666666666,136975.0,153025.0
Tampa,Florida,54,145525.0,178825.0,188833.33333333334,215216.66666666666,232300.0
Aurora,Colorado,55,230050.0,261675.0,289941.6666666667,317916.6666666667,334216.6666666667
Riverside,California,56,313691.6666666667,335100.0,360333.3333333333,398550.0,415400.0
Bakersfield,California,57,207525.0,214400.0,222658.33333333334,236258.33333333334,249583.33333333334
Cincinnati,Ohio,58,128500.0,143516.66666666666,142050.0,147675.0,154041.66666666666
Pittsburgh,Pennsylvania,59,133908.33333333334,139233.33333333334,145691.66666666666,155600.0,164583.33333333334
Anaheim,California,60,473391.6666666667,509058.3333333333,531958.3333333334,573725.0,589658.3333333334
Santa Ana,California,61,402625.0,434175.0,453225.0,500050.0,516675.0
Columbia,South Carolina,62,118950.0,120366.66666666667,120275.0,132500.0,140775.0
Marietta,Georgia,63,222483.33333333334,225408.33333333334,241425.0,261058.33333333334,274091.6666666667
Vancouver,Washington,64,238983.33333333334,263300.0,293325.0,324533.3333333333,342025.0
Saint Louis,Missouri,65,129508.33333333333,128200.0,137658.33333333334,138208.33333333334,142383.33333333334
Greensboro,North Carolina,66,130808.33333333333,134633.33333333334,133525.0,145283.33333333334,156775.0
Lexington,Kentucky,67,148558.33333333334,157691.66666666666,162466.66666666666,173166.66666666666,181683.33333333334
Fort Wayne,Indiana,68,109591.66666666667,119691.66666666667,124866.66666666667,134850.0,144350.0
Silver Spring,Maryland,69,350991.6666666667,353500.0,368050.0,381533.3333333333,394391.6666666667
Toledo,Ohio,70,58908.333333333336,63616.666666666664,66533.33333333333,69150.0,76258.33333333333
Saint Paul,Minnesota,71,165308.33333333334,175900.0,187008.33333333334,204975.0,214950.0
Naples,Florida,72,276583.3333333333,289858.3333333333,298533.3333333333,312075.0,317941.6666666667
Durham,North Carolina,73,169841.66666666666,180741.66666666666,197691.66666666666,215008.33333333334,228875.0
Tallahassee,Florida,74,150483.33333333334,153950.0,166008.33333333334,174825.0,183300.0
Stockton,California,75,204616.66666666666,230225.0,254983.33333333334,278791.6666666667,296866.6666666667
Plano,Texas,76,272525.0,291666.6666666667,321000.0,329841.6666666667,332233.3333333333
Newark,New Jersey,77,0.0,95791.66666666667,169991.66666666666,201183.33333333334,241200.0
Henderson,Nevada,78,238200.0,244158.33333333334,268666.6666666667,302483.3333333333,321225.0
Lincoln,Nebraska,79,145566.66666666666,153783.33333333334,159300.0,172108.33333333334,183500.0
Modesto,California,80,216366.66666666666,236683.33333333334,259650.0,282508.3333333333,294758.3333333333
Reno,Nevada,81,262625.0,286875.0,315250.0,350583.3333333333,367233.3333333333
Spokane,Washington,82,153191.66666666666,165000.0,175441.66666666666,194833.33333333334,224933.33333333334
Chandler,Arizona,83,206000.0,231041.66666666666,248508.33333333334,272533.3333333333,287866.6666666667
Jersey City,New Jersey,84,0.0,149275.0,399141.6666666667,426966.6666666667,453916.6666666667
Mobile,Alabama,85,0.0,0.0,99600.0,135283.33333333334,132850.0
Hialeah,Florida,86,161941.66666666666,199441.66666666666,219958.33333333334,253533.33333333334,259541.66666666666
San Bernardino,California,87,202966.66666666666,224516.66666666666,246500.0,273550.0,289108.3333333333
Chula Vista,California,88,416991.6666666667,440575.0,470200.0,502491.6666666667,516758.3333333333
Saint Petersburg,Florida,89,130983.33333333333,153391.66666666666,174733.33333333334,192550.0,210266.66666666666
Pensacola,Florida,90,105841.66666666667,123758.33333333333,135150.0,141191.66666666666,155916.66666666666
